Sensor,Segment,Min Value,Max Value,deltaR,abs_deltaR
Sensor 1,1,0.010252,0.0135899,0.0033378999999999995,0.32558525165821295
Sensor 1,2,0.00977516,0.013113,0.00333784,0.34146141853432577
Sensor 1,3,0.00977516,0.0126362,0.0028610400000000005,0.29268472331910683
Sensor 1,4,0.00977516,0.0126362,0.0028610400000000005,0.29268472331910683
Sensor 1,5,0.00977516,0.0126362,0.0028610400000000005,0.29268472331910683
Sensor 1,6,0.00977516,0.0121593,0.00238414,0.24389779809230744
Sensor 1,7,0.00929832,0.0121593,0.002860979999999999,0.30768784038406927
Sensor 1,8,0.00929832,0.0121593,0.002860979999999999,0.30768784038406927
Sensor 1,9,0.00929832,0.0116825,0.0023841799999999996,0.2564097600426743
Sensor 1,10,0.00929832,0.0116825,0.0023841799999999996,0.2564097600426743
Sensor 2,1,0.736003,0.936275,0.200272,0.2721075865179898
Sensor 2,2,0.738387,0.937705,0.199318,0.2699370384364838
Sensor 2,3,0.737433,0.936275,0.19884199999999996,0.26964076736462833
Sensor 2,4,0.733142,0.935321,0.202179,0.2757705874168988
Sensor 2,5,0.729327,0.927215,0.19788800000000006,0.2713295956409129
Sensor 2,6,0.739341,0.924354,0.18501299999999998,0.2502404168036129
Sensor 2,7,0.731711,0.911479,0.17976800000000004,0.2456816967354598
Sensor 2,8,0.72885,0.916724,0.18787399999999999,0.2577677162653495
Sensor 2,9,0.72742,0.913386,0.18596600000000008,0.25565148057518366
Sensor 2,10,0.723605,0.913386,0.18978099999999998,0.26227154317618034
Sensor 3,1,2.03205,2.65957,0.6275200000000001,0.3088112989345735
Sensor 3,2,2.02776,2.60473,0.5769700000000002,0.2845356452440132
Sensor 3,3,2.02824,2.5971,0.5688600000000004,0.28046976689149233
Sensor 3,4,2.02347,2.60712,0.58365,0.2884401547836143
Sensor 3,5,2.01441,2.57326,0.5588500000000001,0.2774261446279556
Sensor 3,6,2.02919,2.56182,0.5326300000000002,0.2624840453580001
Sensor 3,7,2.01107,2.52224,0.5111699999999999,0.25417812408319945
Sensor 3,8,2.00487,2.55419,0.5493200000000003,0.27399282746512255
Sensor 3,9,2.00726,2.55228,0.5450200000000001,0.27152436654942563
Sensor 3,10,1.99724,2.5375,0.5402600000000002,0.27050329454647426
Sensor 4,1,26.3442,31.2923,4.9481,0.18782502410397733
Sensor 4,2,26.3818,31.0186,4.636800000000001,0.17575752981221907
Sensor 4,3,26.3575,31.0191,4.6616,0.17686047614530967
Sensor 4,4,26.3494,31.0792,4.729800000000001,0.1795031385913911
Sensor 4,5,26.2951,30.9294,4.6343,0.1762419614300763
Sensor 4,6,26.4848,30.8484,4.363600000000002,0.16475865402041934
Sensor 4,7,26.5697,30.7215,4.151799999999998,0.15626070298121536
Sensor 4,8,26.6241,31.1044,4.4803,0.16827986673727938
Sensor 4,9,26.676,31.1364,4.4604,0.16720647773279354
Sensor 4,10,26.7376,31.1993,4.4617,0.16686987612949555
